Abbreviation	Capital	Largest	Entered	Population	Land	Water	Total
ON 	Toronto 	Toronto 	July 1 1867 	12891787 	917741 	158654 	1076395 
QC 	Quebec City 	Montreal 	July 1 1867 	7744530 	1356128 	185928 	1542056 
NS 	Halifax 	Halifax 	July 1 1867 	935962 	53338 	1946 	55284 
NB 	Fredericton 	Saint John 	July 1 1867 	751527 	71450 	1458 	72908 
MB 	Winnipeg 	Winnipeg 	July 15 1870 	1196291 	553556 	94241 	647797 
BC 	Victoria 	Vancouver 	July 20 1871 	4428356 	925186 	19549 	944735 
PE 	Charlottetown 	Charlottetown 	July 1 1873 	139407 	5660 	0 	5660 
SK 	Regina 	Saskatoon 	September 1 1905 	1010146 	591670 	59366 	651036 
AB 	Edmonton 	Calgary 	September 1 1905 	3512368 	642317 	19531 	661848 
NL 	St. Johns 	St. Johns 	March 31 1949 	508270 	373872 	31340 	405212 

